Id,Label,timeset,page id,Categories,year of first edit,Edit Counts,Page Views,number of words,number of images,u-p/e,page views-label,edit counts-label,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality
0,,,0,3,2001,79,59177,2828,5,0.782232,4,2,9,0.180672,0.205955,0
1,,,1,3,2001,244,157576,6228,14,0.674388,5,5,8,0.220137,0.269352,0.121464
2,,,2,3,2004,50,106423,1883,4,2.222671,5,2,8,0.219015,0.260308,0.000543
3,,,3,3,2002,80,192521,4551,9,2.513031,5,2,7,0.279221,0.372554,0.152547
4,,,4,3,2004,34,9943,1173,3,0.305385,3,1,5,0.315789,0.422222,0.000016
5,,,5,6,2004,11,6553,1107,4,0.622096,3,1,4,0.384615,0.483333,0.002218
6,,,6,3,2001,500,323461,7055,22,0.675556,5,11,7,0.243243,0.343651,0.000193
7,,,7,3,2002,124,229728,7891,19,1.934648,5,3,6,0.310345,0.461111,0.002936
8,,,8,3,2003,35,26663,4535,6,0.795519,4,1,12,0.207063,0.268125,0.006714
9,,,9,4,2001,135,165652,8539,42,1.281364,5,3,11,0.202194,0.253868,0.016096
10,,,10,6,2001,88,114508,7677,30,1.358823,5,2,12,0.190265,0.261416,0.013571
11,,,11,4,2001,174,118314,4890,36,0.710062,5,4,11,0.222031,0.307707,0.081797
12,,,12,3,2001,113,89925,6420,36,0.83102,4,3,1,1,1,0.004079
13,,,13,3,2004,56,30307,2457,6,0.565151,4,2,0,0,0,0
14,,,14,3,2002,54,58566,2595,12,1.132561,4,2,7,0.289474,0.478139,0.010496
15,,,15,3,2005,24,28400,545,12,1.235711,4,1,12,0.168407,0.196678,0.000031
16,,,16,1,2001,500,2464520,17597,144,5.147211,6,11,10,0.23412,0.311745,0.284865
17,,,17,4,2001,194,105346,7915,27,0.567056,5,4,11,0.177686,0.219947,0.009442
18,,,18,5,2001,260,258292,9816,57,1.037402,5,6,3,0.444444,0.541667,0.004093
19,,,19,4,2001,195,114660,3920,20,0.614026,5,4,12,0.177931,0.213973,0.002673
20,,,20,4,2002,87,212578,8410,41,2.551577,5,2,12,0.17867,0.225084,0.005274
21,,,21,3,2006,28,15639,1771,3,0.583258,4,1,8,0.219015,0.260308,0
22,,,22,4,2001,191,117951,1253,15,0.644879,5,4,10,0.212871,0.2868,0.037358
23,,,23,3,2001,53,33560,809,5,0.661235,4,2,0,0,0,0
24,,,24,3,2001,55,94861,2147,20,1.801087,4,2,9,0.242938,0.302892,0.008023
25,,,25,2,2001,245,267007,6548,33,1.138063,5,5,0,0,0,0
26,,,26,3,2002,40,26446,605,0,0.690414,4,1,9,0.246654,0.328731,0.039788
27,,,27,6,2018,50,7129,525,2,0.148891,3,2,1,1,1,0.001409
28,,,28,3,2005,198,185560,7344,38,0.978653,5,4,8,0.29385,0.360354,0.042857
29,,,29,4,2001,500,462387,7384,50,0.965707,5,11,10,0.208738,0.268842,0.000991
30,,,30,4,2001,275,423995,7740,37,1.610044,5,6,9,0.240672,0.294494,0.004485
31,,,31,4,2001,65,186619,8259,34,2.998142,5,2,10,0.215359,0.26156,0.022324
32,,,32,6,2001,39,128561,6968,41,3.442344,5,1,3,0.5,0.583333,0.002668
33,,,33,6,2001,205,274852,5117,58,1.400086,5,5,2,0.666667,0.75,0.004008
34,,,34,3,2003,54,144186,2049,8,2.788297,5,2,7,0.274468,0.357863,0.016039
35,,,35,3,2001,346,152969,4535,11,0.461676,5,7,0,0,0,0
36,,,36,3,2005,65,75128,2453,7,1.206975,4,2,10,0.227513,0.28417,0.001942
37,,,37,3,2001,103,97838,2938,9,0.991928,4,3,5,0.391304,0.559259,0.005151
38,,,38,3,2001,478,177465,5869,20,0.387699,5,10,7,0.276231,0.335825,0.029972
39,,,39,3,2001,86,164231,2827,8,1.994189,5,2,8,0.269311,0.316685,0.011459
40,,,40,3,2004,50,100567,1644,7,2.100367,5,2,8,0.218644,0.256432,0
41,,,41,3,2004,14,42609,516,2,3.178213,4,1,0,0,0,0
